Año,Trimestre,Provincia,Accesos/100 hab,Latitud,Longitud
2021,4,San Luis,"22,98","-33,3018","-66,3378"
2021,4,Santa Cruz,"12,81","-48,7834","-69,9335"
2021,4,Santa Fe,"24,24","-31,6333","-60,7000"
2021,4,Santiago Del Estero,"11,68","-27,7834","-64,2642"
2021,4,Tierra Del Fuego,"29,17","-54,8019","-68,3029"
2021,4,Tucumán,"13,85","-26,8241","-65,2226"
2021,3,Buenos Aires,"23,97","-36,6769","-60,5588"
2021,3,Capital Federal,"45,90","-34,6037","-58,3816"
2021,3,Catamarca,"13,41","-28,4696","-65,7795"
2021,3,Chaco,"11,48","-27,4515","-58,9864"
2021,3,Chubut,"24,74","-43,3002","-65,1023"
2021,3,Córdoba,"24,89","-31,4201","-64,1888"
2021,3,Corrientes,"11,82","-27,4806","-58,8341"
2021,3,Entre Ríos,"18,59","-32,0718","-60,5238"
2021,3,Formosa,"8,64","-26,1728","-58,1825"
2021,3,Jujuy,"14,24","-24,1945","-65,2971"
2021,3,La Pampa,"27,77","-37,7429","-64,2856"
2021,3,La Rioja,"20,57","-29,4135","-66,8565"
2021,3,Mendoza,"12,71","-34,5890","-68,3480"
2021,3,Misiones,"12,41","-27,3644","-55,9000"
2021,3,Neuquén,"20,75","-38,9516","-68,0591"
2021,3,Río Negro,"19,06","-40,8135","-67,9665"
2021,3,Salta,"13,55","-24,7821","-65,4232"
2021,3,San Juan,"10,05","-31,5275","-68,5386"
2021,3,San Luis,"22,86","-33,3018","-66,3378"
2021,3,Santa Cruz,"13,02","-48,7834","-69,9335"
2021,3,Santa Fe,"23,59","-31,6333","-60,7000"
2021,3,Santiago Del Estero,"11,66","-27,7834","-64,2642"
2021,3,Tierra Del Fuego,"28,15","-54,8019","-68,3029"
2021,3,Tucumán,"13,53","-26,8241","-65,2226"
2021,2,Buenos Aires,"23,35","-36,6769","-60,5588"
2021,2,Capital Federal,"45,49","-34,6037","-58,3816"
2021,2,Catamarca,"13,31","-28,4696","-65,7795"
2021,2,Chaco,"11,58","-27,4515","-58,9864"
2021,2,Chubut,"22,16","-43,3002","-65,1023"
2021,2,Córdoba,"24,53","-31,4201","-64,1888"
2021,2,Corrientes,"11,47","-27,4806","-58,8341"
2021,2,Entre Ríos,"18,44","-32,0718","-60,5238"
