Año,Trimestre,Provincia,Accesos por cada 100 hogares,Latitud,Longitud
2021,4,Capital Federal,"111,27","-34,6037","-58,3816"
2021,4,Catamarca,"55,25","-28,4696","-65,7795"
2021,4,Chaco,"44,05","-27,4515","-58,9864"
2021,4,Chubut,"82,57","-43,3002","-65,1023"
2021,4,Córdoba,"84,51","-31,4201","-64,1888"
2021,4,Corrientes,"45,51","-27,4806","-58,8341"
2021,4,Entre Ríos,"63,16","-32,0718","-60,5238"
2021,4,Formosa,"34,45","-26,1728","-58,1825"
2021,4,Jujuy,"56,92","-24,1945","-65,2971"
2021,4,La Pampa,"89,57","-37,7429","-64,2856"
2021,4,La Rioja,"77,92","-29,4135","-66,8565"
2021,4,Mendoza,"47,51","-34,5890","-68,3480"
2021,4,Misiones,"49,06","-27,3644","-55,9000"
2021,4,Neuquén,"73,30","-38,9516","-68,0591"
2021,4,Río Negro,"65,69","-40,8135","-67,9665"
2021,4,Salta,"56,81","-24,7821","-65,4232"
2021,4,San Juan,"39,59","-31,5275","-68,5386"
2021,4,San Luis,"80,30","-33,3018","-66,3378"
2021,4,Santa Cruz,"43,05","-48,7834","-69,9335"
2021,4,Santa Fe,"77,09","-31,6333","-60,7000"
2021,4,Santiago Del Estero,"47,05","-27,7834","-64,2642"
2021,4,Tierra Del Fuego,"98,40","-54,8019","-68,3029"
2021,4,Tucumán,"55,93","-26,8241","-65,2226"
2021,3,Buenos Aires,"71,68","-36,6769","-60,5588"
2021,3,Capital Federal,"111,27","-34,6037","-58,3816"
2021,3,Catamarca,"52,71","-28,4696","-65,7795"
2021,3,Chaco,"42,96","-27,4515","-58,9864"
2021,3,Chubut,"80,71","-43,3002","-65,1023"
2021,3,Córdoba,"81,28","-31,4201","-64,1888"
2021,3,Corrientes,"44,90","-27,4806","-58,8341"
2021,3,Entre Ríos,"62,18","-32,0718","-60,5238"
2021,3,Formosa,"33,96","-26,1728","-58,1825"
2021,3,Jujuy,"55,69","-24,1945","-65,2971"
2021,3,La Pampa,"84,28","-37,7429","-64,2856"
2021,3,La Rioja,"77,26","-29,4135","-66,8565"
2021,3,Mendoza,"45,55","-34,5890","-68,3480"
2021,3,Misiones,"45,57","-27,3644","-55,9000"
2021,3,Neuquén,"69,71","-38,9516","-68,0591"
2021,3,Río Negro,"61,97","-40,8135","-67,9665"
2021,3,Salta,"55,96","-24,7821","-65,4232"
2021,3,San Juan,"39,46","-31,5275","-68,5386"
2021,3,San Luis,"79,87","-33,3018","-66,3378"
2021,3,Santa Cruz,"43,75","-48,7834","-69,9335"
2021,3,Santa Fe,"75,02","-31,6333","-60,7000"
2021,3,Santiago Del Estero,"47,00","-27,7834","-64,2642"
2021,3,Tierra Del Fuego,"94,95","-54,8019","-68,3029"
2021,3,Tucumán,"54,64","-26,8241","-65,2226"
2021,2,Buenos Aires,"70,00","-36,6769","-60,5588"
2021,2,Capital Federal,"110,14","-34,6037","-58,3816"
2021,2,Catamarca,"52,34","-28,4696","-65,7795"
2021,2,Chaco,"43,33","-27,4515","-58,9864"
2021,2,Chubut,"72,29","-43,3002","-65,1023"
2021,2,Córdoba,"80,12","-31,4201","-64,1888"
2021,2,Corrientes,"43,54","-27,4806","-58,8341"
2021,2,Entre Ríos,"61,66","-32,0718","-60,5238"
2021,2,Formosa,"33,23","-26,1728","-58,1825"
2021,2,Jujuy,"56,18","-24,1945","-65,2971"
2021,2,La Pampa,"82,08","-37,7429","-64,2856"
2021,2,La Rioja,"76,98","-29,4135","-66,8565"
2021,2,Mendoza,"40,97","-34,5890","-68,3480"
2021,2,Misiones,"45,01","-27,3644","-55,9000"
2021,2,Neuquén,"69,14","-38,9516","-68,0591"
2021,2,Río Negro,"61,94","-40,8135","-67,9665"
2021,2,Salta,"54,93","-24,7821","-65,4232"
2021,2,San Juan,"39,28","-31,5275","-68,5386"
2021,2,San Luis,"83,48","-33,3018","-66,3378"
2021,2,Santa Cruz,"44,01","-48,7834","-69,9335"
2021,2,Santa Fe,"75,07","-31,6333","-60,7000"
2021,2,Santiago Del Estero,"46,56","-27,7834","-64,2642"
2021,2,Tierra Del Fuego,"67,89","-54,8019","-68,3029"
2021,2,Tucumán,"54,93","-26,8241","-65,2226"
2021,1,Buenos Aires,"69,11","-36,6769","-60,5588"
2021,1,Capital Federal,"108,42","-34,6037","-58,3816"
2021,1,Catamarca,"48,90","-28,4696","-65,7795"
2021,1,Chaco,"43,14","-27,4515","-58,9864"
2021,1,Chubut,"68,99","-43,3002","-65,1023"
2021,1,Córdoba,"78,59","-31,4201","-64,1888"
2021,1,Corrientes,"42,66","-27,4806","-58,8341"
2021,1,Entre Ríos,"60,44","-32,0718","-60,5238"
2021,1,Formosa,"32,73","-26,1728","-58,1825"
2021,1,Jujuy,"55,63","-24,1945","-65,2971"
2021,1,La Pampa,"81,78","-37,7429","-64,2856"
2021,1,La Rioja,"49,81","-29,4135","-66,8565"
2021,1,Mendoza,"39,15","-34,5890","-68,3480"
2021,1,Misiones,"43,17","-27,3644","-55,9000"
2021,1,Neuquén,"66,84","-38,9516","-68,0591"
2021,1,Río Negro,"60,88","-40,8135","-67,9665"
2021,1,Salta,"53,93","-24,7821","-65,4232"
2021,1,San Juan,"39,06","-31,5275","-68,5386"
2021,1,San Luis,"81,24","-33,3018","-66,3378"
2021,1,Santa Cruz,"41,65","-48,7834","-69,9335"
2021,1,Santa Fe,"73,92","-31,6333","-60,7000"
2021,1,Santiago Del Estero,"45,67","-27,7834","-64,2642"
2021,1,Tierra Del Fuego,"77,35","-54,8019","-68,3029"
2021,1,Tucumán,"54,82","-26,8241","-65,2226"
2020,4,Buenos Aires,"68,98","-36,6769","-60,5588"
2020,4,Capital Federal,"108,31","-34,6037","-58,3816"
2020,4,Catamarca,"49,41","-28,4696","-65,7795"
2020,4,Chaco,"43,03","-27,4515","-58,9864"
2020,4,Chubut,"68,35","-43,3002","-65,1023"
2020,4,Córdoba,"78,08","-31,4201","-64,1888"
2020,4,Corrientes,"42,43","-27,4806","-58,8341"
2020,4,Entre Ríos,"59,47","-32,0718","-60,5238"
2020,4,Formosa,"32,49","-26,1728","-58,1825"
2020,4,Jujuy,"53,46","-24,1945","-65,2971"
2020,4,La Pampa,"81,77","-37,7429","-64,2856"
2020,4,La Rioja,"50,11","-29,4135","-66,8565"
2020,4,Mendoza,"38,63","-34,5890","-68,3480"
2020,4,Misiones,"42,64","-27,3644","-55,9000"
2020,4,Neuquén,"67,00","-38,9516","-68,0591"
2020,4,Río Negro,"61,09","-40,8135","-67,9665"
2020,4,Salta,"54,04","-24,7821","-65,4232"
2020,4,San Juan,"36,32","-31,5275","-68,5386"
2020,4,San Luis,"81,68","-33,3018","-66,3378"
2020,4,Santa Cruz,"37,00","-48,7834","-69,9335"
2020,4,Santa Fe,"73,58","-31,6333","-60,7000"
2020,4,Santiago Del Estero,"43,75","-27,7834","-64,2642"
2020,4,Tierra Del Fuego,"76,27","-54,8019","-68,3029"
2020,4,Tucumán,"54,78","-26,8241","-65,2226"
2020,3,Buenos Aires,"67,66","-36,6769","-60,5588"
2020,3,Capital Federal,"107,68","-34,6037","-58,3816"
2020,3,Catamarca,"47,16","-28,4696","-65,7795"
2020,3,Chaco,"41,54","-27,4515","-58,9864"
2020,3,Chubut,"68,34","-43,3002","-65,1023"
2020,3,Córdoba,"75,22","-31,4201","-64,1888"
2020,3,Corrientes,"41,75","-27,4806","-58,8341"
2020,3,Entre Ríos,"58,19","-32,0718","-60,5238"
2020,3,Formosa,"31,91","-26,1728","-58,1825"
2020,3,Jujuy,"54,04","-24,1945","-65,2971"
2020,3,La Pampa,"79,26","-37,7429","-64,2856"
2020,3,La Rioja,"50,12","-29,4135","-66,8565"
2020,3,Mendoza,"37,35","-34,5890","-68,3480"
2020,3,Misiones,"41,60","-27,3644","-55,9000"
2020,3,Neuquén,"65,24","-38,9516","-68,0591"
2020,3,Río Negro,"57,05","-40,8135","-67,9665"
2020,3,Salta,"52,32","-24,7821","-65,4232"
2020,3,San Juan,"38,79","-31,5275","-68,5386"
2020,3,San Luis,"79,96","-33,3018","-66,3378"
2020,3,Santa Cruz,"35,95","-48,7834","-69,9335"
2020,3,Santa Fe,"72,12","-31,6333","-60,7000"
2020,3,Santiago Del Estero,"43,38","-27,7834","-64,2642"
2020,3,Tierra Del Fuego,"76,81","-54,8019","-68,3029"
2020,3,Tucumán,"53,23","-26,8241","-65,2226"
2020,2,Buenos Aires,"65,22","-36,6769","-60,5588"
2020,2,Capital Federal,"106,41","-34,6037","-58,3816"
2020,2,Catamarca,"45,43","-28,4696","-65,7795"
2020,2,Chaco,"39,83","-27,4515","-58,9864"
2020,2,Chubut,"57,34","-43,3002","-65,1023"
2020,2,Córdoba,"72,71","-31,4201","-64,1888"
2020,2,Corrientes,"40,30","-27,4806","-58,8341"
2020,2,Entre Ríos,"56,54","-32,0718","-60,5238"
2020,2,Formosa,"31,14","-26,1728","-58,1825"
2020,2,Jujuy,"47,89","-24,1945","-65,2971"
2020,2,La Pampa,"76,10","-37,7429","-64,2856"
2020,2,La Rioja,"49,84","-29,4135","-66,8565"
2020,2,Mendoza,"36,25","-34,5890","-68,3480"
2020,2,Misiones,"40,89","-27,3644","-55,9000"
2020,2,Neuquén,"63,90","-38,9516","-68,0591"
2020,2,Río Negro,"56,37","-40,8135","-67,9665"
2020,2,Salta,"51,58","-24,7821","-65,4232"
2020,2,San Juan,"35,09","-31,5275","-68,5386"
2020,2,San Luis,"78,41","-33,3018","-66,3378"
2020,2,Santa Cruz,"35,79","-48,7834","-69,9335"
2020,2,Santa Fe,"70,00","-31,6333","-60,7000"
2020,2,Santiago Del Estero,"43,47","-27,7834","-64,2642"
2020,2,Tierra Del Fuego,"76,37","-54,8019","-68,3029"
2020,2,Tucumán,"51,78","-26,8241","-65,2226"
2020,1,Buenos Aires,"64,33","-36,6769","-60,5588"
2020,1,Capital Federal,"105,98","-34,6037","-58,3816"
2020,1,Catamarca,"37,62","-28,4696","-65,7795"
2020,1,Chaco,"37,48","-27,4515","-58,9864"
2020,1,Chubut,"51,27","-43,3002","-65,1023"
2020,1,Córdoba,"70,69","-31,4201","-64,1888"
2020,1,Corrientes,"38,73","-27,4806","-58,8341"
2020,1,Entre Ríos,"56,12","-32,0718","-60,5238"
2020,1,Formosa,"30,23","-26,1728","-58,1825"
2020,1,Jujuy,"46,67","-24,1945","-65,2971"
2020,1,La Pampa,"75,77","-37,7429","-64,2856"
2020,1,La Rioja,"46,35","-29,4135","-66,8565"
2020,1,Mendoza,"33,14","-34,5890","-68,3480"
2020,1,Misiones,"39,02","-27,3644","-55,9000"
2020,1,Neuquén,"61,85","-38,9516","-68,0591"
2020,1,Río Negro,"55,12","-40,8135","-67,9665"
2020,1,Salta,"49,60","-24,7821","-65,4232"
2020,1,San Juan,"32,39","-31,5275","-68,5386"
2020,1,San Luis,"76,31","-33,3018","-66,3378"
2020,1,Santa Cruz,"35,97","-48,7834","-69,9335"
2020,1,Santa Fe,"69,52","-31,6333","-60,7000"
2020,1,Santiago Del Estero,"42,47","-27,7834","-64,2642"
2020,1,Tierra Del Fuego,"76,07","-54,8019","-68,3029"
2020,1,Tucumán,"47,85","-26,8241","-65,2226"
2019,4,Buenos Aires,"64,25","-36,6769","-60,5588"
2019,4,Capital Federal,"106,25","-34,6037","-58,3816"
2019,4,Catamarca,"36,44","-28,4696","-65,7795"
2019,4,Chaco,"36,84","-27,4515","-58,9864"
2019,4,Chubut,"51,15","-43,3002","-65,1023"
2019,4,Córdoba,"70,48","-31,4201","-64,1888"
2019,4,Corrientes,"38,77","-27,4806","-58,8341"
2019,4,Entre Ríos,"57,99","-32,0718","-60,5238"
2019,4,Formosa,"30,47","-26,1728","-58,1825"
2019,4,Jujuy,"45,38","-24,1945","-65,2971"
2019,4,La Pampa,"76,92","-37,7429","-64,2856"
2019,4,La Rioja,"47,14","-29,4135","-66,8565"
2019,4,Mendoza,"33,65","-34,5890","-68,3480"
2019,4,Misiones,"39,79","-27,3644","-55,9000"
2019,4,Neuquén,"59,36","-38,9516","-68,0591"
2019,4,Río Negro,"55,71","-40,8135","-67,9665"
2019,4,Salta,"50,35","-24,7821","-65,4232"
2019,4,San Juan,"32,85","-31,5275","-68,5386"
2019,4,San Luis,"74,92","-33,3018","-66,3378"
2019,4,Santa Cruz,"36,71","-48,7834","-69,9335"
2019,4,Santa Fe,"69,48","-31,6333","-60,7000"
2019,4,Santiago Del Estero,"42,92","-27,7834","-64,2642"
2019,4,Tierra Del Fuego,"79,70","-54,8019","-68,3029"
2019,4,Tucumán,"47,65","-26,8241","-65,2226"
2019,3,Buenos Aires,"69,36","-36,6769","-60,5588"
2019,3,Capital Federal,"112,65","-34,6037","-58,3816"
2019,3,Catamarca,"30,88","-28,4696","-65,7795"
2019,3,Chaco,"35,85","-27,4515","-58,9864"
2019,3,Chubut,"47,57","-43,3002","-65,1023"
2019,3,Córdoba,"68,59","-31,4201","-64,1888"
2019,3,Corrientes,"38,49","-27,4806","-58,8341"
2019,3,Entre Ríos,"57,90","-32,0718","-60,5238"
2019,3,Formosa,"30,11","-26,1728","-58,1825"
2019,3,Jujuy,"44,32","-24,1945","-65,2971"
2019,3,La Pampa,"77,45","-37,7429","-64,2856"
2019,3,La Rioja,"47,94","-29,4135","-66,8565"
2019,3,Mendoza,"40,74","-34,5890","-68,3480"
2019,3,Misiones,"39,33","-27,3644","-55,9000"
2019,3,Neuquén,"64,14","-38,9516","-68,0591"
