Año,Trimestre,Provincia,Mbps,Latitud,Longitud,Meta Mbps
2019,4,Córdoba,"26,16","-31,4201","-64,1888","23,66"
2020,1,Córdoba,"29,39","-31,4201","-64,1888","26,69"
2020,2,Córdoba,"30,99","-31,4201","-64,1888","29,98"
2020,3,Córdoba,"33,51","-31,4201","-64,1888","31,61"
2020,4,Córdoba,"35,12","-31,4201","-64,1888","34,18"
2021,1,Córdoba,"36,17","-31,4201","-64,1888","35,82"
2021,2,Córdoba,"39,59","-31,4201","-64,1888","36,89"
2021,3,Córdoba,"41,93","-31,4201","-64,1888","40,38"
2021,4,Córdoba,"46,36","-31,4201","-64,1888","42,77"
2022,1,Córdoba,"49,89","-31,4201","-64,1888","47,29"
2022,2,Córdoba,"53,51","-31,4201","-64,1888","50,89"
2022,3,Córdoba,"56,32","-31,4201","-64,1888","54,58"
2022,4,Córdoba,"108,77","-31,4201","-64,1888","57,45"
2023,1,Córdoba,"109,57","-31,4201","-64,1888","110,95"
2023,2,Córdoba,"111,82","-31,4201","-64,1888","111,76"
2023,3,Córdoba,"111,50","-31,4201","-64,1888","114,06"
2023,4,Córdoba,"114,03","-31,4201","-64,1888","113,73"
2024,1,Córdoba,"114,89","-31,4201","-64,1888","116,31"
2024,2,Córdoba,"117,39","-31,4201","-64,1888","117,19"
2014,1,Entre Ríos,"3,17","-32,0718","-60,5238","0,00"
2014,2,Entre Ríos,"3,31","-32,0718","-60,5238","3,23"
2014,3,Entre Ríos,"3,40","-32,0718","-60,5238","3,38"
2014,4,Entre Ríos,"3,80","-32,0718","-60,5238","3,47"
2015,1,Entre Ríos,"4,35","-32,0718","-60,5238","3,88"
2015,2,Entre Ríos,"4,55","-32,0718","-60,5238","4,43"
2015,3,Entre Ríos,"4,77","-32,0718","-60,5238","4,64"
2015,4,Entre Ríos,"5,01","-32,0718","-60,5238","4,86"
2016,1,Entre Ríos,"5,08","-32,0718","-60,5238","5,11"
2016,2,Entre Ríos,"5,13","-32,0718","-60,5238","5,19"
2016,3,Entre Ríos,"5,59","-32,0718","-60,5238","5,23"
2016,4,Entre Ríos,"5,81","-32,0718","-60,5238","5,70"
2017,1,Entre Ríos,"5,95","-32,0718","-60,5238","5,92"
2017,2,Entre Ríos,"6,29","-32,0718","-60,5238","6,07"
2017,3,Entre Ríos,"6,99","-32,0718","-60,5238","6,41"
2017,4,Entre Ríos,"9,30","-32,0718","-60,5238","7,13"
2018,1,Entre Ríos,"9,88","-32,0718","-60,5238","9,48"
