Año,Trimestre,Provincia,Accesos/100 hab,Latitud,Longitud,Accesos poblacion trimestre anterior,Accesos poblacion meta
2022,4,Córdoba,"27,26","-31,4201","-64,1888","27,04","27,58"
2023,1,Córdoba,"27,20","-31,4201","-64,1888","27,26","27,81"
2023,2,Córdoba,"27,59","-31,4201","-64,1888","27,20","27,74"
2023,3,Córdoba,"27,57","-31,4201","-64,1888","27,59","28,14"
2023,4,Córdoba,"27,76","-31,4201","-64,1888","27,57","28,12"
2024,1,Córdoba,"27,77","-31,4201","-64,1888","27,76","28,32"
2024,2,Córdoba,"27,79","-31,4201","-64,1888","27,77","28,33"
2014,1,Entre Ríos,"10,30","-32,0718","-60,5238","0,00","0,00"
2014,2,Entre Ríos,"10,37","-32,0718","-60,5238","10,30","10,51"
2014,3,Entre Ríos,"10,43","-32,0718","-60,5238","10,37","10,58"
2014,4,Entre Ríos,"10,72","-32,0718","-60,5238","10,43","10,64"
2015,1,Entre Ríos,"12,61","-32,0718","-60,5238","10,72","10,93"
2015,2,Entre Ríos,"12,84","-32,0718","-60,5238","12,61","12,86"
2015,3,Entre Ríos,"13,03","-32,0718","-60,5238","12,84","13,09"
2015,4,Entre Ríos,"13,12","-32,0718","-60,5238","13,03","13,29"
2016,1,Entre Ríos,"13,14","-32,0718","-60,5238","13,12","13,39"
2016,2,Entre Ríos,"13,38","-32,0718","-60,5238","13,14","13,41"
2016,3,Entre Ríos,"13,55","-32,0718","-60,5238","13,38","13,64"
2016,4,Entre Ríos,"13,45","-32,0718","-60,5238","13,55","13,82"
2017,1,Entre Ríos,"13,43","-32,0718","-60,5238","13,45","13,72"
2017,2,Entre Ríos,"13,57","-32,0718","-60,5238","13,43","13,70"
2017,3,Entre Ríos,"13,74","-32,0718","-60,5238","13,57","13,84"
2017,4,Entre Ríos,"14,32","-32,0718","-60,5238","13,74","14,02"
2018,1,Entre Ríos,"14,56","-32,0718","-60,5238","14,32","14,60"
2018,2,Entre Ríos,"14,71","-32,0718","-60,5238","14,56","14,85"
2018,3,Entre Ríos,"15,02","-32,0718","-60,5238","14,71","15,01"
2018,4,Entre Ríos,"16,26","-32,0718","-60,5238","15,02","15,32"
2019,1,Entre Ríos,"16,98","-32,0718","-60,5238","16,26","16,58"
2019,2,Entre Ríos,"17,19","-32,0718","-60,5238","16,98","17,32"
2019,3,Entre Ríos,"17,31","-32,0718","-60,5238","17,19","17,53"
2019,4,Entre Ríos,"17,34","-32,0718","-60,5238","17,31","17,66"
2020,1,Entre Ríos,"16,78","-32,0718","-60,5238","17,34","17,69"
2020,2,Entre Ríos,"16,90","-32,0718","-60,5238","16,78","17,11"
2020,3,Entre Ríos,"17,40","-32,0718","-60,5238","16,90","17,24"
2020,4,Entre Ríos,"17,78","-32,0718","-60,5238","17,40","17,75"
2021,1,Entre Ríos,"18,07","-32,0718","-60,5238","17,78","18,14"
2021,2,Entre Ríos,"18,44","-32,0718","-60,5238","18,07","18,43"
2021,3,Entre Ríos,"18,59","-32,0718","-60,5238","18,44","18,80"
2021,4,Entre Ríos,"18,88","-32,0718","-60,5238","18,59","18,96"
2022,1,Entre Ríos,"19,05","-32,0718","-60,5238","18,88","19,26"
2022,2,Entre Ríos,"19,10","-32,0718","-60,5238","19,05","19,43"
2022,3,Entre Ríos,"19,04","-32,0718","-60,5238","19,10","19,49"
2022,4,Entre Ríos,"19,14","-32,0718","-60,5238","19,04","19,42"
2023,1,Entre Ríos,"19,37","-32,0718","-60,5238","19,14","19,52"
2023,2,Entre Ríos,"19,26","-32,0718","-60,5238","19,37","19,76"
2023,3,Entre Ríos,"20,58","-32,0718","-60,5238","19,26","19,65"
2023,4,Entre Ríos,"20,91","-32,0718","-60,5238","20,58","20,99"
2024,1,Entre Ríos,"20,72","-32,0718","-60,5238","20,91","21,33"
2024,2,Entre Ríos,"20,52","-32,0718","-60,5238","20,72","21,13"
2014,1,Formosa,"4,44","-26,1728","-58,1825","0,00","0,00"
2014,2,Formosa,"4,46","-26,1728","-58,1825","4,44","4,53"
2014,3,Formosa,"4,51","-26,1728","-58,1825","4,46","4,55"
2014,4,Formosa,"4,55","-26,1728","-58,1825","4,51","4,60"
2015,1,Formosa,"4,62","-26,1728","-58,1825","4,55","4,64"
2015,2,Formosa,"4,67","-26,1728","-58,1825","4,62","4,72"
2015,3,Formosa,"4,78","-26,1728","-58,1825","4,67","4,77"
2015,4,Formosa,"4,83","-26,1728","-58,1825","4,78","4,88"
2016,1,Formosa,"4,86","-26,1728","-58,1825","4,83","4,93"
2016,2,Formosa,"4,93","-26,1728","-58,1825","4,86","4,96"
2016,3,Formosa,"4,73","-26,1728","-58,1825","4,93","5,03"
2016,4,Formosa,"5,03","-26,1728","-58,1825","4,73","4,83"
2017,1,Formosa,"5,05","-26,1728","-58,1825","5,03","5,13"
2017,2,Formosa,"5,08","-26,1728","-58,1825","5,05","5,15"
2017,3,Formosa,"5,43","-26,1728","-58,1825","5,08","5,18"
2017,4,Formosa,"5,41","-26,1728","-58,1825","5,43","5,54"
2018,1,Formosa,"5,45","-26,1728","-58,1825","5,41","5,52"
2018,2,Formosa,"7,49","-26,1728","-58,1825","5,45","5,56"
2018,3,Formosa,"7,53","-26,1728","-58,1825","7,49","7,64"
2018,4,Formosa,"7,57","-26,1728","-58,1825","7,53","7,68"
2019,1,Formosa,"7,55","-26,1728","-58,1825","7,57","7,72"
2019,2,Formosa,"7,74","-26,1728","-58,1825","7,55","7,70"
2019,3,Formosa,"7,66","-26,1728","-58,1825","7,74","7,90"
2019,4,Formosa,"7,76","-26,1728","-58,1825","7,66","7,82"
